personName
Igor Bukhman
Jack Dangermond
Ashwin Dani & family
Ralph Lauren
Law Kar Po
Rohiqa Cyrus Mistry
Shapoor Mistry
J. Christopher Reyes
Jude Reyes
Don Vultaggio & family
Alejandro Bailleres Gual & family
Edythe Broad & family
Pauline MacMillan Keinath
Philippe Laffont
Liu Jincheng & family
Igor Olenicoff
Sandra Ortega Mera
Ronda Stryker
Dannine Avara
Silvio Berlusconi & family
Denise Coates
Scott Duncan
Milane Frantz
"Edward Johnson, IV."
Yuri Milner
Gordon Moore
John Overdeck
David Siegel
Viktor Vekselberg
Wang Laisheng
Randa Duncan Williams
Ken Fisher
Christopher Hohn
Kjeld Kirk Kristiansen
Sofie Kirk Kristiansen
Thomas Kirk Kristiansen
Massimiliana Landini Aleotti & family
Li Ping
Lin Jianhua
Magdalena Martullo-Blocher
Xavier Niel
Terrence Pegula
"Edward Roski, Jr."
John A. Sobrato & family
George Soros
David Sun
Agnete Kirk Thinggaard
John Tu
Xu Shihui
Rahel Blocher
Bubba Cathy
Dan Cathy
Trudy Cathy White
Bruce Kovner
"Henry Nicholas, III."
Nadia Thiele
David Bonderman
Melinda French Gates
Nathan Kirsh
Annette Lerner & family
David Reuben
Simon Reuben
Radovan Vitek
Carl Bennet
Stephen Bisciotti
Stanley Druckenmiller
Jian Jun
Alexei Kuzmichev
Dmitry Rybolovlev & family
Luis Carlos Sarmiento
Dennis Washington
Anthony Bamford & family
Gao Jifan & family
John Grayken
Alain Merieux & family
Wang Yusuo & family
Stef Wertheimer & family
Maria Asuncion Aramburuzabala & family
Gustaf Douglas
Frits Goldschmeding
Lin Muqin & family
Ruan Liping
Ruan Xueping
Michal Solowow
Mike Adenuga
Tom Gores
Michael Herz
Wolfgang Herz
Michael Kadoorie
Sunil Mittal
Zhou Qunfei
Alexander Abramov
Rene Benko
Neil Bluhm
Alain Bouchard
Jay Chaudhry
Gopikishan Damani
Sumet Jiaravanon
Joe Lewis
Frank Lowy
Michael Milken
David Steward
Les Wexner & family
Cai Kui
Jaran Chiaravanont
Andreas Halvorsen
Antony Ressler
Tsai Eng-meng
Josh Harris
Niels Peter Louis-Hansen
Patrick Soon-Shiong
Rinat Akhmetov
John Brown
Clive Calder
Arthur Irving
Fredrik Lundberg
Thomas Schmidheiny
Helmut Sohmen
Daniel Ziff
Dirk Ziff
Robert Ziff
Maria Angelicoussis
Ray Lee Hunt
Lai Meisong
Vikram Lal & family
Ken Langone
Li Ge
Karen Pritzker
Robert Rowling
Teddy Sagi
Seo Jung-jin
Wu Jianshu
Micky Arison
James Chambers
Pierre Chen
John Collison
Patrick Collison
Archie Aldis Emmerson & family
Piero Ferrari
Dan Friedkin
James Irving
Jiang Weiping & family
Wolfgang Marguerre & family
Ludwig Merckle
Mitchell Rales
Katharine Rayner
Jean Salata
Paul Singer
Sergio Stevanato & family
Margaretta Taylor
Richard White
Zhao Yan
Patrizio Bertelli
Mahendra Choksi & family
Mat Ishbia
Leo Koguan
Miao Hangen
Michael Pieper
Miuccia Prada
Wolfgang Reimann
Matthias Reimann-Andersen
Stefan Reimann-Andersen
Renate Reimann-Haas
Todd Boehly
Rick Caruso
Ibrahim Erdemoglu
Elizabeth Johnson
Douglas Leone
Prajogo Pangestu
Thomas Pritzker
Lynda Resnick
Stewart Resnick
Gary Rollins
Mark Walter
Ronald Wanek
Erich Wesjohann & family
M.A. Yusuff Ali
Alexandre Behring
Cheng Xue
Robert Faith
Gao Dekang & family
Micky Jagtiani
Ananda Krishnan
Barry Lam
"Robert Rich, Jr."
Mark Scheinberg
Charles Simonyi
Ty Warner
Sam Zell
Fang Wei
Rekha Jhunjhunwala
Charles B. Johnson
Kwon Hyuk-bin
Sami Mnaymneh
Kjell Inge Rokke
Tony Tamer
Tse Ping & family
Romesh T. Wadhwani
Hansjoerg Wyss
Denise York & family
Ron Baron
Robert Bass
Dona Bertarelli
Alexander Gerko
Martin Haefner
"Robert Hale, Jr."
Viktor Kharitonin
Kim Beom-su
Jane Lauder
Michel Leclercq & family
George Lucas
Janice McNair
Ugur Sahin
Alexandra Schoerghuber & family
Thomas Straumann
Murat Ulker
Chip Wilson
Zhu Yan & family
Jim Davis & family
Murali Divi & family
Dagmar Dolby & family
Marcos Galperin
Tom Golisano
Jonathan Gray
Bidzina Ivanishvili
Lim Hariyanto Wijaya Sarwono
Rudolf Maag
Emanuele (Lino) Saputo & family
Mark Shoen
Dan Snyder
Chairul Tanjung
Kelcy Warren
Zhang Tao
Michael Ashley
Tomasz Biernacki
Bernard Broermann
Jimmy Haslam
H. Fisk Johnson
S. Curtis Johnson
Helen Johnson-Leipold
Vinod Khosla
Thai Lee
Winifred J. Marquart
Pankaj Patel
Horst Julius Pudwill
Yu Yong
Maria Fernanda Amorim & family
Gayle Benson
Jason Chang
Ali Erdemoglu
Andre Esteves
Carlo Fidani
Hong Ra-hee
Li Gaiteng
Thomas Secunda
Zuowen Song
Tim Sweeney
Bert Beveridge
Mark Cuban
Charles Dolan & family
Jack Dorsey
Fan Hongwei
Vladimir Kim
"Andre Koo, Sr."
Ronald Lauder
Li Chunan
Forrest Li
Richard Li
Doug Meijer & family
Hank Meijer & family
Mark Meijer & family
Issad Rebrab & family
Fred Smith
Barry Sternlicht
Maximilian Viessmann
Russ Weiner
Xue Min
Juan Domingo Beckmann Legorreta & family
Dietmar Hopp & family
Jiang Bin
Joseph Liemandt
Theo Mueller
N.R. Narayana Murthy
Odd Reitan & family
Marc Rowan
Hussain Sajwani
David Velez & family
Xu Jinfu
Samuel Yin
You Xiaoping & family
Stéphane Bancel
Margot Birmingham Perot
Neal Blue & family
Jim Davis
Rafael Del Pino
Peter Grogg
Christian Haub
Mangal Prabhat Lodha
Jeffrey Lurie & family
Joe Mansueto
Qian Dongqi & family
Mikhail Shelkov
Patrick Drahi
Behdad Eghbali
Juan Carlos Escotet
Jose E. Feliciano
Hu Kaijun
Johnelle Hunt
Marian Ilitch
Daryl Katz
Andrei Kozitsyn
Timur Kulibaev
Dinara Kulibaeva
Ian Livingstone
Richard Livingstone
Gwendolyn Sontheim Meyer
Jay Paul
Pham Nhat Vuong
Jon Stryker
Daniel Tsai
Richard Tsai
Frank Wang
Wang Junshi & family
Wang Wenjing
Herbert Wertheim
Shari Arison
Pyotr Aven
Chan Laiwa & family
Chen Hua
Thomas Hagen
"Rupert Johnson, Jr."
Dewi Kam
Min Kao & family
Marc Ladreit de Lacharriere
Eric Lefkofsky
Lin Bin
Lin Li
Michael Moritz
Jean (Gigi) Pritzker
E. Joe Shoen
Jeff Skoll
Lynsi Snyder
Djoko Susanto
Tahir & family
Peter Thiel
Andrej Babis
Danielle Bellon & family
Hubert Burda
Nick Caporella
John Catsimatidis
Scott Cook
Luca Garavoglia
Antti Herlin
Hong Jie
"Jeremy Jacobs, Sr. & family"
Igor Kesaev
Mary Alice Dorrance Malone
Joao Moreira Salles
Walther Moreira Salles Junior
Arturo Moreno
Peter Spuhler
Donald Sterling
Kerry Stokes
Ken Xie
Liangzhi Xie & family
Sid Bass
Ben Chestnut
Elisabeth DeLuca & family
Guangchang Guo
Vinod Rai Gupta
John Henry
Travis Kalanick
Koon Poh Keong
Dan Kurzius
Paul Lee
Tobi Lutke
Gail Miller
Rajan Mittal
Rakesh Mittal
Isaac Perlmutter
"Bernard Saul, II."
Shaul Shani
Steven Spielberg
Jerzy Starak
Torbjorn Tornqvist
Rufino Vigil Gonzalez
Zhang Daocai
Juergen Blickle
"Austen Cargill, II."
"James Cargill, II."
Vanich Chaiyawan
Chen Dongsheng
Mong-Koo Chung
Kenneth Dart
Giuseppe De'Longhi & family
Guenther Fielmann & family
W. Herbert Hunt
James Irsay
Somurai Jaruphnit
Marianne Liebmann
Jorge Moll Filho & family
Fernando Roberto Moreira Salles
Pedro Moreira Salles
Gabe Newell
Alfred Oetker
Carl Ferdinand Oetker
Julia Oetker
Ruan Hongliang & family
Mark Stevens
Tsai Hong-tu
Nusli Wadia
Wu Yiling
Yu Renrong
Zhu Baoguo & family
Rahul Bhatia
Francesco Gaetano Caltagirone
Barry Diller
Wesley Edens
Stephen Feinberg
Rakesh Gangwal
Joseph Grendys
Martha Ingram & family
Li Xiang
"H. Ross Perot, Jr."
Chandru Raheja
Trevor Rees-Jones
Yasumitsu Shigeta
Su Qingcan
Tsai Cheng-ta
Steven Udvar-Hazy
Elizabeth Uihlein
Richard Uihlein
Hayes Barnard
William Berkley
Charles Cohen
Yakir Gabay
Huang Li
Brad Jacobs
Ji Qi
Jason Jiang
Jim Kavanaugh
Richard LeFrak & family
