personName,numberOfCompanies
Li Yongxin,0
Peter Lim,0
Lu Weiding,0
Sergio Mantegazza,0
Hans Melchers,0
C. Dean Metropoulos,0
Hans Georg Naeder,0
Falguni Nayar,0
James Packer,0
Alexander Ponomarenko,1
Nicholas Pritzker,0
Alejandro Santo Domingo,0
Steven Sarowitz,0
Maria-Elisabeth Schaeffler-Thumann,0
Leonard Schleifer,1
Dieter Schnabel,0
Michael S. Smith,6
Julia Thiele-Schuerhoff,0
John Tyson & family,2
Anna Katharina Viessmann,0
Jurgen Wirtgen,0
Stefan Wirtgen,0
Zhao Lixin,0
Hongyi Zhou,0
S. Daniel Abraham,0
Bill Alfond,0
Susan Alfond,0
Ted Alfond,0
Riley Bechtel & family,0
Thor Bjorgolfsson,0
Charles Bronfman,0
Vivek Chand Burman,0
Herb Chambers,0
Cheng Yixiao,0
Andrew Cherng,0
Peggy Cherng,0
Leon G. Cooperman,1
Yadu Hari Dalmia & family,0
Henry Davis,0
Oleg Deripaska,0
Sergey Dmitriev,2
Joseph Edelman,0
Sandeep Engineer,0
Alceu Elias Feldmann & family,0
Serge Godin,0
Alec Gores,0
Bill Haslam,0
J. Tomilson Hill,0
Jay-Z,1
Baba Kalyani,0
Saban Cemil Kazanci,0
Brad Kelley,0
Wolfgang Leitner,1
Li Hongxin & family,0
Lin Chen-hai,0
Lu Yiwen,0
Prayudh Mahagitsiri,0
Willy Michel,0
Lachhman Das Mittal,0
Bobby Murphy,1
Tomas Olivo Lopez,0
Eren Ozmen,0
John Pritzker,0
Qiu Minxiu,0
Ferit Faik Sahenk,0
Wenrong Shen,0
Yuzhu Shi,0
Jeff Sutton,0
"Henry Sy, Jr.",0
Andrew Tan,0
Arvind Tiku,0
Byron Trott,3
Donald Trump,1
Peter Unger,0
Roger Wang,0
Oprah Winfrey,5
Wu Zhigang & family,0
Xie Weitong,0
Ye Guofu,0
Brian Acton,3
Abdulla Al Futtaim & family,0
Edward Bass,0
Koos Bekker,0
Otto Philipp Braun,0
Chen Tei-fu,0
Abilio dos Santos Diniz,0
Marcel Erni,0
Doris Fisher,0
Gerald Ford,3
Bernard Fraisse & family,0
Alfred Gantner,0
Paul Gauselmann & family,0
Mitchell Goldhar,0
Peter Hargreaves,0
Xuande Hua & family,0
Kwek Leng Kee,0
Catherine Lozick,0
Kalanithi Maran,0
Jed McCaleb,3
Fatih Ozmen,0
Pan Laican,0
Tor Peterson,0
Daniel Pritzker,0
Jinxing Qi,0
Qiu Jianping & family,0
Rajan Raheja & family,0
Matthias Reinhart,1
Arnout Schuijff,0
Hans Sy,0
Herbert Sy,0
Lucio Tan,0
Tsai Ming-kai,0
Ted Turner,1
David Walentas,0
Urs Wietlisbach,1
Jerry Yang,0
Yang Jianliang & family,0
Yang Weidong & family,0
Mortimer Zuckerman,5
John Armitage,0
Lee Bass,0
John Bicket,2
Sanjit Biswas,0
Timothy Boyle,0
Morris Chang,0
Chao Teng-hsiung,0
Samuel Chen,2
Chu Lam Yiu,0
K. Dinesh,0
James Duff,0
Thomas Duff,0
Daniel Ek,0
John Fisher,0
Georg Haub,0
Erman Ilicak,0
Justin Ishbia,0
Long Jiang,0
Bruce Karsh,0
Bom Kim,0
Jianping Lai,1
Lam Kong,0
Stephen Lansdown,0
Kevin David Lehmann,0
Li Haiyan,0
Hua Li,0
Lim Kok Thay,0
Kishore Mariwala,0
Clayton Mathile,0
Mi Enhua,0
Vadim Moshkovich,1
David Murdock,0
David Nahmad,0
Lirio Parisotto,0
Augusto Perfetti,0
Giorgio Perfetti,0
Alberto Prada,0
Marina Prada,0
Filiz Sahenk,0
Richard Sands,0
Stephan Schmidheiny,0
Alberto Siccardi & family,0
Stefan Soloviev,0
Tang Yiu,1
Tian Ming,0
T.Y. Tsai,0
Jayshree Ullal,0
Georg von Opel,0
Lang Walker,0
Xicheng Wang & family,0
Wang Zhenhua,0
Paul-Heinz Wesjohann & family,0
Xie Bingkun & family,0
Xu Shugen,0
Christoph Zeller,0
Zhang Jingzhang & family,0
George Argyros & family,0
Brian Armstrong,0
Albert Avdolyan,0
Sezai Bacaksiz,0
Aneel Bhusri,0
Brett Blundy,0
J. Hyatt Brown,0
Chen Jinxia,0
Chen Xueli,0
Dermot Desmond,0
Dong Wei,0
Tom Ford,0
Fu Guangming & family,1
Noam Gottesman,1
Jeffrey Gundlach,0
Hao Hong,0
Shmuel Harlap,0
Hans-Werner Hector,0
Lutz Mario Helmig & family,0
Chulong Huang,0
Thomas James,0
James Jannard,0
Willis Johnson,0
Lai Shixian,0
Chris Larsen,0
Solomon Lew,0
Liang Xinjun,0
Harald Link,0
Max Lytvyn,0
Igor Makarov,1
Howard Marks,0
Charles Munger,1
Adam Neumann,0
Thi Phuong Thao Nguyen,0
Ni Yongpei & family,0
Heloise Pratt,0
Qi Xiangdong,0
Phillip T. (Terry) Ragon,0
Prathap Reddy,0
Jerry Reinsdorf,0
Chad Richison,1
"Karl Scheufele, III. & family",0
Alice Schwartz,0
Alex Shevchenko,0
Kavitark Ram Shriram,1
Jeffrey Soffer,0
William Stone,0
Henry Swieca,0
Harley Sy,0
Teresita Sy-Coson,0
Katsumi Tada,0
Tang Jinkui & family,1
Tang Xiao'ou,3
Lottie Tham & family,0
Shamsheer Vayalil,0
Radha Vembu,0
Wang Wenmo,0
Wang Zhenghua,2
David Wertheim,0
Kai Wu,0
Xu Yingzhuo,0
Yeung Kin-man,0
Huijiao Yu,0
Oren Zeev,0
Clayton Zekelman,0
Zhao Fenggang,0
Alex Beard,0
Travis Boersma,0
Martin Bouygues,1
Olivier Bouygues,1
William Boyd & family,0
Anand Burman,0
Cao Ji,0
Bruce Cheng,0
Chi Yufeng,0
Daniel Chiu,1
Beda Diethelm,1
Domenico Dolce,0
Ralph Dommermuth,2
Georgi Domuschiev,0
Kiril Domuschiev,0
Bob Ell,0
Paul Foster,0
Stefano Gabbana,0
Xingjiang Gao,0
Gordon Getty,0
Kamal Ghaffarian,0
Dennis Gillings,1
Harsh Goenka,1
Sanjiv Goenka,0
Jane Goldman,0
Stein Erik Hagen,0
Bahaa Hariri,0
Hortensia Herrero,0
Douglas Hsu,0
Huang Min,0
Jared Isaacman,2
Eugene Kaspersky,1
Artem Khachatryan,0
Andrei Krivenko,0
Thomas Kwok,0
Lam Wai-ying,0
Marc Lasry,1
Christian Latouche & family,0
Theodore Leonsis,0
Lin Chang Su-O,0
Liu Chengyu & family,0
Sergey Lomakin,0
Daniel Lubetzky,1
Melissa Ma,0
Anand Mahindra,1
Rafique Malik,0
Katarina Martinson,0
Kiran Mazumdar-Shaw,1
Nirmal Minda,0
Mu Rongjun,0
Eugene Murtagh,0
Alexander Nesis,0
Zugen Ni,0
Florentino Perez,0
Victor Pinchuk,0
Leonid Radvinsky,0
Raveendran Byju,0
P.P. Reddy,0
Richard Saghian,0
Shi Yifeng,0
Thaksin Shinawatra,1
Shu Ping,2
Timothy Springer,2
Venu Srinivasan,1
Edward Stack,0
Sun Mengquan & family,0
Alexander Svetakov,0
Torsten Toeller,0
Barbara Tyson,0
Hamdi Ulukaya,1
Wang Linpeng,0
Wei Ing-Chou,0
Wei Yin-Chun,0
Wei Yin-Heng,0
Wei Ying-Chiao,0
Elaine Wynn,0
Xu Xudong & family,0
Michael Ying,1
Yu Qibing & family,0
Yuan Fugen & family,0
Zhang Ning & family,0
Zhao Tao,0
Anu Aga,0
Mohamed Al Fayed,0
Andrey Andreev,1
Michael Ashcroft,0
Pavel Baudis,0
Wilhelm Beier & family,0
Cao Jianwei,0
Huwen Chen,0
Phongthep Chiaravanont,0
Dou Zhenggang,0
Maria Franca Fissolo,0
William Franke,0
Mario Germano Giuliani,1
Amy Goldman Fowler,0
John Hancock,0
Hu Yangzhong,0
Huang Dawen,0
Huang Qiaoling,0
Rajiv Jain,0
Michael Jordan,0
Diane Kemper,0
Shlomo Kramer,0
Heikki Kyostila,1
Martin Lau,3
Li Min,1
Liang Rubo,0
Liang Zhaoxian,0
Lin Fanlian,0
Aloke Lohia,0
Bill Malhotra,0
Alexander Mamut,0
Craig McCaw,0
Cunhui Nan,0
Tengyun Nie & family,0
Oei Hong Leong,0
Clive Palmer,0
Matthew Prince,1
Linda Pritzker,0
P.V. Krishna Reddy,0
Bianca Rinehart,0
Ginia Rinehart,0
T. Denny Sanford,0
Bhadresh Shah,0
Zygmunt Solorz-Zak,0
Michal Strnad,0
Sylvia Stroeher,0
Otto Toto Sugiri,0
Larry Tanenbaum,0
Wichai Thongtang,0
Ion Tiriac,3
Hope Welker,0
William Young,0
Ales Zavoral,0
Zhang Fan,0
Shilong Zhang & family,0
Zhang Wanzhen,0
Hongfei Zhao,0
Zhou Jian,0
Zhu Yiwen & family,0
Roberto Angelini Rossi,0
Mika Anttonen,0
David Blitzer,0
Julio Bozano,0
Nikolai Buinov,0
Nicola Bulgari,0
"Howard Butt, III. & family",0
Stephen Butt & family,0
Jianxing Che,0
Huxiong Chen,0
Chen Qiongxiang,0
Chen Zhisong,0
Manas Chiaravanond,0
Prathip Chiravanond,0
Alexandra Daitch,0
Sol Daurella,0
Mark Davis,0
James Dinan,0
Dong Fan,2
Fritz Draexlmaier,0
Bulent Eczacibasi,0
Faruk Eczacibasi,0
Eduardo Eurnekian,0
David Fong,0
Guo Zhenyu & family,0
Surjit Kumar Gupta,0
Caroline Hagen Kjos,0
Roberto Hernandez Ramirez,0
Reid Hoffman,3
Hu Rongda & family,0
"B. Wayne Hughes, Jr.",0
Hui Wing Mau,1
Scott Kapnick,0
Richard Kayne,0
Dominika Kulczyk,4
Edward Lampert,2
Somsri Lamsam,0
James Leprino,0
David Lichtenstein,0
Lin Dingqiang & family,0
Sarah MacMillan,0
Strive Masiyiwa,0
Robert Miller,2
Simon Nixon,0
Kentaro Ogawa,0
Ajay Parekh,0
Narendrakumar Parekh,0
Jennifer Pritzker,0
G. Rajendran,0
Ren Jianhua,0
Larry Robbins,0
Dwight Schar,0
Shao Jianxiong,0
Qinxiang Shao,0
Hua Shen,1
Shi Wen-long,0
Peter Sondakh,0
Lucy Stitzer,0
Elizabeth Sy,0
Hermanto Tanoko,0
Mehmet Sinan Tara,0
Masateru Uno & family,0
Vardis Vardinoyannis & family,0
Jitendra Virwani,0
Wang Chaobin,0
Wang Ren-sheng,0
Charlotte Colket Weber,0
Xie Juhua & family,0
Chuanhua Xu & family,0
Gavril Yushvaev & family,0
Zhang Hongwei,0
Anita Zucker,0
Cameron Adams,0
Will Adderley,0
Faisal Bin Qassim Al Thani,0
Leslie Alexander,0
Masaaki Arai,0
Sabrina Benetton,0
Sanjeev Bikhchandani,0
O. Francis Biondi,0
Alejandro Bulgheroni,0
R.G. Chandramogan,0
Binod Chaudhary,0
Parker Conrad,0
Tim Cook,2
Mark Coombs,0
John de Mol,0
D. Leopoldo Del Pino,0
Diao Zhizhong,0
Robert Duggan,0
James France,2
Phillip Frost,0
Jayme Garfinkel & family,0
Christopher Goldsbury,0
Yusuf Hamied,0
Brian Higgins,0
Wei Huang,0
Yintai Jiang & family,0
Lei Jin,0
Jin Lei & family,0
Valentin Kipyatkov,0
Koo Kwang-mo,0
George Kurtz,2
Joe Lacob,0
Joe Lau,0
Louise Lindh,0
Luo Yangyong & family,0
Joao Roberto Marinho,0
Jose Roberto Marinho,0
Roberto Irineu Marinho,0
Gary Michelson,0
Robert G. Miller,0
David Mindus,0
Adriaan Mol,0
Mofatraj Munot,0
Ezra Nahmad,0
Satyanarayan Nuwal,0
Maike Oberwelland-Height,0
Nihat Ozdemir,0
Benjamin Zhengmin Pan & family,0
Pierre Karl Péladeau,1
Ronald Perelman,0
Olivier Pomel,0
Krit Ratanarak,0
Vinod Saraf,0
Karin Schick,0
Anatoly Sedykh,0
Genhuo Shao,0
Shen Xiqiang & family,0
S.D. Shibulal,0
Suh Kyung-bae,0
Bambang Sutantio,0
Sze Man Bok,0
Jim Thompson,0
Tran Dinh Long,0
Alan Trefler,0
Riaz Valani,0
Pieter van der Does,0
Martin Viessmann,0
Nikil Viswanathan,0
Todd Wagner,0
Evan Williams,1
Kie Chie Wong,0
Thomas Wu,0
Wu Yingming,0
Amy Wyss,0
Yan Zhi,0
Yoshiaki Yoshida,1
Alan Zekelman,0
Zhang Li,0
Amy Adams Strunk,0
Marc Andreessen,2
Giovanni Arvedi,0
Lesley Bamberger,0
Bang Si-hyuk,0
David Booth,0
Jim Breyer,2
Chen Kaichen,0
Kommer Damen,0
Carl DeSantis,0
Marek Dospiva,0
Keith Dunleavy & family,0
John Elkann,0
Francois Feuillet & family,0
Yasuhiro Fukushima,1
Mario Gabelli,0
Rolf Gerling,0
John Goff,0
Alexandre Grendene Bartelle,0
Gerry Harvey,0
He Zhaoxi,1
William Heinecke,0
Jay Hennick,0
Ilkka Herlin,0
Asok Kumar Hiranandani,0
Hal Jackman,0
Pavan Jain,0
Keeree Kanjanapas,0
Osman Kibar,1
Kim Chang-soo,0
Kim Jung-min,0
Kim Jung-youn,0
Mustafa Kucuk,0
Christopher Kwok,0
Edward Kwok,0
Lai Jianfa,0
Lau Cho Kun,0
Alexis Lê-Quôc,0
Lei Jufang,0
James Leininger,0
Xuhui Li,1
Jimmy John Liautaud,1
Lin Lairong & family,0
Lu Di,0
Palmer Luckey,3
Duncan MacMillan,0
Yusaku Maezawa,0
Ilson Mateus & family,0
Meng Qingshan & family,0
Alberto Palatchi,1
Mrudula Parekh,0
Dragos Paval,0
Jorge Perez,0
Dmitry Pumpyansky,0
Jinsheng Ren & family,0
Brian Roberts,0
"Joe Rogers, Jr.",0
Ruan Shuilong & family,0
Paul Saville,0
Ivan Savvidis & family,0
Keiichi Shibahara,0
Rajju Shroff,0
Sun Huaiqing & family,0
Alain Taravella,0
Jonathan Tisch,0
Kenneth Tuchman,0
Wang Chou-hsiong,0
Wang Minwen,0
Tom Werner,0
Stephen Winn,0
Ian Wood & family,0
Wu Lanlan & family,0
Xu Bingzhong,0
Yang Xuegang,0
Vladimir Yevtushenkov,0
David Zalik,0
Zhang Xiaojuan,0
Zheng Xiaodong,0
Zhong Ruonong & family,0
Noubar Afeyan,0
Syed Mokhtar AlBukhary,0
"Herbert Allen, Jr. & family",0
Vasily Anisimov,1
Clifford Asness,1
Louis Bacon,0
Bai Baokun,0
Alex Birkenstock,0
Christian Birkenstock,0
Josef Boquoi & family,0
Cai Huabo,0
Chen Tianshi,0
Chen Yung-tai,0
Chey Tae-won,0
Ivan Chrenko,0
Robert Clark,0
Jack Cockwell,0
Tench Coxe,0
Jim Crane,0
Norbert Dentressangle,0
Jamie Dimon,5
Daniel Dines,0
Alfredo Egydio Arruda Villela Filho,0
Gary Fegel,1
"William Foley, II.",0
Richard Fortin,0
Gao Yi & family,0
Giammaria Giuliani,1
Bill Gross,0
Sue Gross,0
Irving Grousbeck & family,0
Timothy Headington,0
Ilona Herlin,0
David Hoffmann,0
Stanley Hubbard,1
Hui Lin Chit,0
Tianjiang Jia & family,0
Zhaobai Jiang,0
Sergei Katsiev,0
Kim Jae-young,0
Randal J. Kirk,0
William Koch,0
Pyotr Kondrashev,0
Eiichi Kuriwada,0
Robert Langer,2
Anthony Langley,0
Marianna Latsis & family,0
Lee Yeow Seng,0
Li Sze Lim,0
Li Wa,0
Li Weiwei,0
Liang Qin & family,0
Vincent Lo,0
Terence (Terry) Matthews,0
Jim McKelvey,0
P.N.C. Menon,0
Massimo Moratti,0
Liora Ofer,0
Stefan Pierer,0
Andreas Pohl,0
"Reinfried Pohl, Jr.",0
Michael Polsky,0
Francisco Jose Riberas Mera,0
Juan Maria Riberas Mera,0
Andres Santo Domingo,0
Sathien Sathientham,0
Shang Xiaobo & family,0
Yuri Shefler,0
Evgeny (Eugene) Shvidler,0
Ryan Smith,0
Zakhar Smushkin,0
Peter Sperling,1
Laurie Tisch,0
Steven Tisch,0
Michael Tojner,1
August Troendle,0
Tseng Sing-ai,0
Sekar Vembu,0
Chris Wallin,0
Wang Changtian,0
Ning Wang & family,0
Scott Watterson,0
Dan Wilks,2
Alan Wilson,0
Bruce Wilson,0
John Wilson,4
Anthony Wood,1
Wu Ying,0
Wu Yulan,0
Zhongyi Wu,0
Xiang Guangming & family,0
Xue Xiangdong & family,0
George Yancopoulos,1
Steven Meng Yang & family,0
Ye Fan & family,1
Yi Dasheng,0
Yu Lili,0
Zeng Kaitian,0
Zhang Xuexin & family,0
Yubai Zhang,0
Fredrik Österberg,0
Shiv Kishan Agrawal,0
Aziz Akhannouch & family,0
Hamdi Akin & family,0
Nerio Alessandri,0
Alexandra Andresen,0
Katharina Andresen,0
Patricia Angelini Rossi,0
Mori Arkin,0
Barbara Benetton,0
Angela Bennett,0
Zadik Bino & family,0
Paolo Bulgari,0
Saket Burman,0
Ahmet Calik,0
Safra Catz,2
Chang Kuo-Hua,0
Chu Jian,0
Sandor Csanyi,0
Ana Lucia de Mattos Barretto Villela,0
Federico De Nora,0
Bharat Desai,0
Mohammed Dewji,0
Egon Durban,0
Fu Mingkang & family,0
Alan Gerry,0
Philippe Ginestet & family,0
G. Gnanalingam,0
Esther Grether,0
Wei Gu,1
Patrick Hanrahan,0
Kenneth Hao,1
Jaroslav Hascak & family,0
He Zhenggang,0
Niranjan Hiranandani,0
Ho Hung Anh,0
Archie Hwang,0
Peter Jackson,0
Stephen Jarislowsky,0
Rajeev Juneja,0
Ramesh Juneja,0
Ke Xiping & family,0
Kim Jun-ki,0
Sidney Kimmel,0
Jim Koch,1
Raj Kumar,0
Spiro Latsis & family,0
Peter Leibinger,1
Regine Leibinger,1
Nicola Leibinger-Kammueller,0
Li Jianli,0
Li Jiaquan,0
Li Rucheng,0
Li Shui-po,0
Scott Lin,0
Liu Xiucai & family,0
Lu Zhongfang,0
Lu Zongjun,0
Youssef Mansour,0
Bruce Mathieson,0
Romano Minozzi,0
Greg Mondre,0
Mario Moretti Polegato & family,0
Robert Mouawad,0
Jerry Moyes & family,0
John Ocampo,0
Stefan Olsson,3
Rubens Ometto Silveira Mello,0
Anne Marie See Pastor,0
George Pastor,0
Nelson Peltz,0
David Penaloza Alanis,0
Karl-Johan Persson,0
Mike Repole,0
Duke Reyes,0
Kishin RK,0
Carlos Rodriguez-Pastor,0
Christopher Rokos,0
John Ruiz,0
Sheryl Sandberg,1
Amnon Shashua,4
Ben Silbermann,0
Ron Sim,0
Leonid Simanovsky,0
Basudeo Singh,0
Frank Slootman,3
Terry Snow,0
Axel Stawski,0
Thomas Steyer,3
Sergei Studennikov & family,0
Su Suyu & family,0
Kevin Systrom,1
Tan Lili,0
Tang Binsen,0
Tang Rui,0
Prachak Tangkaravakoon,0
Jeff Tangney,0
Yuequn Tao,0
David Teoh,1
Carmen Thyssen,0
Tran Ba Duong & family,0
Kenny Troutt,0
Jens von Bahr,0
Wang Junmin,0
Weng Xianding,0
Farris Wilks,0
Gordon Wu,0
Xiong Wu,0
Xu Zhenhua,0
Xu Zhihan,0
Tingdong Yang,0
Michael Minhong Yu,0
Justin Yuan,0
Zhang Bangxin,0
Zhang Hong,0
Zhou Zongwen & family,0
Antti Aarnio-Wihuri,0
Alberto Alcocer,0
Nigel Austin,0
Binny Bansal,0
Girdhari Lal Bawri,0
John Bloor,0
Vladimir Bogdanov,1
Amit Burman,0
Cai Jianyong,0
Steve Case,0
Chen Wenyuan & family,0
Chua Thian Poh,0
Sasson Dayan & family,0
Chris Ellison,0
John Farber,0
J. Christopher Flowers,2
Reinold Geiger,0
Ali Ghodsi,2
Lance Gokongwei,0
Guan Yihong,0
Rajinder Gupta,4
Torstein Hagen,1
Ayman Hariri,0
Alfredo Harp Helu & family,0
He Xiaopeng,2
Christoph Henkel,0
Daniel Hirschfeld,0
Drew Houston,0
Huang Jinxiang & family,0
Rameshchandra Jain,0
Ke Zunhong & family,0
Kim Taek-jin,0
Koh Wee Meng,0
Sergei Kolesnikov,0
Hemendra Kothari,0
Sebastian Kulczyk,0
Kwee Liong Keng,0
Kwee Liong Phing,0
Kwee Liong Seen,0
Kwee Liong Tek,0
Kwek Leng Keow,0
Kwek Leng Peck,0
Raymond Kwok,0
Lee Ho-jin,0
Michael Lee-Chin,0
Manfredi Lefebvre d'Ovidio & family,0
Bernard Lewis & family,5
Li Jinyang,0
William Li,1
Jenny Lindén Urnes,0
Liu Fangyi,0
K.C. Liu,0
Liu Ming Chung,0
Anatoly Lomakin,0
Brandt Louie,0
Lucia Maggi & family,0
Gary Magness,0
Mao Lixiang & family,0
David McMurtry,0
Deepak Mehta,0
Miao Shouliang,0
Miao Yongjun,0
Yoshiko Mori,0
Marius Nacht,0
Tadako Nakatani,0
Vadim Novinsky,1
Niti Osathanugrah,0
Gretel Packer,0
Pan Longquan,0
Pan Shiyi,0
David Paul,0
Tom Persson,0
Qian Jinghong,0
Qin Long,0
M.Satyanarayana Reddy,0
Mochtar Riady & family,0
Rihanna,0
Boris Rotenberg,0
Subhash Runwal,0
Igor Rybakov,0
Carlos Sanchez,0
Martin Selig,0
Airat Shaimiev,2
Radik Shaimiev,0
Nobutoshi Shimamura,1
Jared Smith,0
Charlotte Soderstrom,0
Anand Surana,0
Dilip Surana,0
Wilma Tisch,0
Jianyi Wang,0
Wang Jilei,0
Shuifu Wang,0
Wang Yanqing & family,0
Wang Zelong,0
Werner O. Weber,0
Anne Werninghaus,0
"Alfred West, Jr.",0
Bo Wu,0
Wu Chaoqun,0
Swift Xie,0
Xu Guozhong & family,0
Yao Kuizhang,0
Yu Peidi,0
Yuan Liping,0
Zhang Chuanwei & family,0
Zhang Keqiang,0
Zhang Xin,0
Xinghai Zhang & family,0
Zheng Jianjiang & family,0
Zhong Sheng Jian,0
Zhou Chengjian,0
Boris Zingarevich,0
A. Jayson Adair,0
Soegiarto Adikoesoemo,0
Rajendra Agarwal,0
Chirayu Amin,0
Anant Asavabhokhin,0
Roman Avdeev,0
Ziv Aviram,0
Sachin Bansal,1
Kiki Barki,0
Elena Baturina,0
Banwari Lal Bawri,0
Othman Benjelloun & family,0
Hari Bhartia,0
Shyam Bhartia,0
Stewart Butterfield,2
Cai Mingtong,0
Anthony Casalena,0
Chang Jianming & family,0
Richard Chang,0
Chen Xuehua,0
Chen Yin,0
Chin Jong Hwa,0
R. Marcelo Claure,0
Alberto Cortina,0
Eduardo Costantini,0
Wenjun Dai,0
Anand Deshpande,0
Aydin Dogan,0
Annalisa Doris,0
Massimo Doris,0
Weimin Du,0
Timothy Dunn & family,1
Keiko Erikawa,1
Yoichi Erikawa,1
Philip Fayer,0
Marvy Finger,0
Simona Giorgetta,0
Joel Greenberg,0
He Zhiping,0
Heikki Herlin,0
Hoi Kin Hong,0
Lillyn Teh Li Hua,0
Gregg Hymowitz,0
Mitchell Jacobson,0
Anurang Jain,0
Jiang Guiting & family,0
Jin Xin,0
Conni Jonsson,0
George Joseph,1
Laurent Junique,0
Zbigniew Juroszek & family,0
Alexander Karp,0
Joe Kiani,0
Seth Klarman,0
Kagemasa Kozuki,1
Michael Krasny,0
Eduard Kucera,0
Kristo Käärmann,0
Gary Lauder,0
Lee Hae-jin,0
Art Levinson,0
Li Denghai,0
Fengluan Li,0
Li Yongqing,0
Li Zhigang,0
Liu Gexin & family,0
Itamar Locks & family,0
Lu Hongyan,0
Lv Jianming,0
Blairo Maggi,0
Yasseen Mansour,0
Charlwin Mao,1
George Marcus,0
Yves-Loic Martin,0
Carsten Maschmeyer,0
Lillian Teh Li Ming,0
Martin Moller Nielsen,0
Jahm Najafi,0
Randal Nardone,0
Nguyen Dang Quang,0
Kazuo Okada,0
John Oyler,0
William Teh Lee Pang,0
George Pedersen & family,0
Qu Miranda,0
Jupally Rameshwar Rao,0
G. M. Rao,0
P.V. Ramprasad Reddy,0
Satish Reddy,0
Fernando Roig,0
Igor Rotenberg,0
Seifeddin Rustamov,0
Deniz Sahenk,0
Nobutada Saji,0
Hajime Satomi,0
James Scapa,0
Stephan Schnabel,0
Devi Shetty,0
Albert Shigaboutdinov,0
Diana Teh Li Shing,0
Denis Shtengelov,0
Fei Song,0
Hal Steinbrenner,0
Jessica Steinbrenner,0
Jennifer Steinbrenner Swindal,0
Konstantin Strukov & family,0
Rustem Sulteev,0
Clemens Toennies,0
Robert Toennies,0
John Van Lieshout,0
Pongsak Viddayakorn,0
Wang Jianguo,0
Junjin Wang,0
Wang Mingwang,0
Wei Lidong & family,0
Myron Wentz,0
Wu Xiaoge,0
Wu Xushun & family,0
Xiong Xiaochuan,0
Xu Shaochun,0
Yan Jane & family,0
Zeng Chaoyi,0
Peng Zhao,0
Zhao Tongtong,0
Kostyantin Zhevago,0
Zong Yanmin,0
Sanjay Agarwal,1
Hamad bin Jassim bin Jaber Al Thani,0
Joao Alves de Queiroz Filho,0
Jose Maria Aristrain,0
Michael Arougheti,0
Tope Awotona,0
Mehmet Aydinlar,0
Danna Azrieli,0
Naomi Azrieli,0
Sharon Azrieli,0
Bai Houshan,0
Thomas Bailey,0
Bernhard Braun-Luedicke,0
Eva Maria Braun-Luedicke,0
Friederike Braun-Luedicke,0
Jeffrey Cheah,0
Chen Xianbao & family,1
Cheng Xianfeng,0
Chung Yong-jin,0
Darwin Deason,0
Diego Della Valle,1
Ashwin Desai,0
Richard Desmond,0
Ding Shui Po,0
Sefik Yilmaz Dizdar,0
Mathias Doepfner,0
Farhad Ebrahimi,0
Jose Roberto Ermirio de Moraes,0
Jose Ermirio de Moraes Neto,0
Fang Hongbo,0
David Feffer,0
Zsolt Felcsuti,0
Ben Francis,1
Gary Friedman,1
Dan Gertler,0
Balkrishan Goenka,0
Lawrence Golub,0
Saroj Rani Gupta,0
Anthony Hall,1
Fahed Hariri,0
Richard Hayne,1
Michael Heine,0
Orion Hindawi,0
Lawrence Ho,0
Huang Guanlin,0
Sam Hupert,0
Mohammed Ibrahim,0
Shirley Kao,0
David Kaplan,1
Kim Kardashian,0
Ke Guihua,0
Ke Yunfeng & family,0
Alexander Klyachin,0
Christine Knauf,0
Karl Knauf,0
Suresh Krishna,0
Guy Laliberté,0
Lee Su-jin,0
Li Guoqing,0
Li Li,0
Li Ruiqiang,0
Zhen Li & family,0
Guangwei Liang,0
Liu Ming Hui,0
Frederic Luddy,0
"Cargill MacMillan, III.",0
John MacMillan,0
Martha MacMillan,0
William MacMillan,0
Keshub Mahindra,0
Mao Zhongwu,0
Jorge Mas,0
Lorinc Meszaros,0
Jeffrey Michael & family,0
Alan Miller & family,0
Ulrich Mommert & family,0
Neide Helena de Moraes,0
Scott Nuttall,0
Kailashchandra Nuwal,0
Axel Oberwelland & family,0
Jonathan Oringer,0
Vitaly Orlov,1
Jose Isaac Peres & family,1
Markus Persson,0
Mark Pincus,1
Murdaya Poo,0
Forrest Preston,0
Qian Ying,0
Jimmy Rane,0
Andrei Rappoport,0
Hugo Ribeiro & family,2
Bennett Rosenthal,1
Atul Ruia,0
Thomas Sandell,0
Francesco Saputo,0
Dhruv Sawhney,0
Gerald Schwartz,0
Antonio Luiz Seabra,0
Eric Ya Shen,0
Sytse 'Sid' Sijbrandij,0
Alexander Sixt,1
Konstantin Sixt,1
Edwin Soeryadjaya,0
Abhay Soi,0
Mike Speiser,0
Marco Squinzi,0
Veronica Squinzi,0
Michael Steinhardt,3
Ion Stoica,1
Eddy Sugianto,0
Luc Tack,2
Tony Tan Caktiong,0
Xiuguo Tang,0
Sam Tarascio,0
Lina Tombolato,0
Ching Bor Tung,0
Joop van den Ende,0
Ruben Vardanyan & family,0
Sandro Veronesi & family,0
Thongma Vijitpongpun,0
Thomas von Koch,0
Wang Fuji,0
Wang Shih-Chung,0
Wang Xiaoshen,0
J. Wayne Weaver,0
Drorit Wertheim,0
Cameron Winklevoss,0
Tyler Winklevoss,0
Wu Chung-yi,0
Eugene Wu,0
Wu Yonghua,0
Xia Xinde,0
Wenbo Xiang,0
Xu Jin,0
