personName,numberOfCompanies
Andrei Skoch & family,0
Georg Stumpf,0
Rocco Commisso,0
Li Shuirong & family,0
Lin Shu-hong,0
Qi Shi & family,0
Yao Liangsong,0
Zhang Congyuan,0
Jean-Michel Besnier,0
Marie Besnier Beauvalot,0
David Geffen,0
Robin Li,1
Liu Yonghao & family,0
Henry Samueli,3
Reinhold Schmieding,0
Ivar Tollefsen,0
Cao Renxian,0
Hasmukh Chudgar & family,0
Andrew Currie,1
Joe Gebbia,1
Philip Ng,0
John Reece,0
Leonard Stern,0
Joseph Tsai,0
Zhong Huijuan,0
Arthur Blank,0
Charles Butt,0
Ding Shijia,0
"Paul Tudor Jones, II.",0
Henry Kravis,1
Zhang Yong,0
James Goodnight,0
Sri Prakash Lohia,0
Ma Jianrong,0
Robert Ng,1
Steven Rales,0
Nassef Sawiris,0
Harry Stine,1
Benu Gopal Bangur,0
Iskander Makhmudov,0
Anders Holch Povlsen,0
Enrique Razon Jr.,0
Wang Laichun,0
Arthur Dantchik,0
Terry Gou,1
Jeff Greene,0
Don Hankey,0
Richard Kinder,1
Guillaume Pousaz,0
Takahisa Takahara,0
Zong Qinghou,0
Judy Faulkner,0
Johann Graf,1
Tamara Gustavson,0
Liang Wengen,0
Frederik Paulsen,0
Wee Cho Yaw,0
Zhang Hejun,0
Marc Benioff,2
Dmitri Bukhman,0
Igor Bukhman,0
Jack Dangermond,1
Ashwin Dani & family,1
Ralph Lauren,0
Law Kar Po,0
Rohiqa Cyrus Mistry,0
Shapoor Mistry,0
J. Christopher Reyes,0
Jude Reyes,0
Don Vultaggio & family,0
Alejandro Bailleres Gual & family,1
Edythe Broad & family,0
Pauline MacMillan Keinath,0
Philippe Laffont,0
Liu Jincheng & family,0
Igor Olenicoff,0
Sandra Ortega Mera,0
Ronda Stryker,0
Dannine Avara,0
Silvio Berlusconi & family,1
Denise Coates,1
Scott Duncan,0
Milane Frantz,0
"Edward Johnson, IV.",0
Yuri Milner,0
Gordon Moore,1
John Overdeck,0
David Siegel,0
Viktor Vekselberg,0
Wang Laisheng,0
Randa Duncan Williams,0
Ken Fisher,0
Christopher Hohn,1
Kjeld Kirk Kristiansen,0
Sofie Kirk Kristiansen,0
Thomas Kirk Kristiansen,0
Massimiliana Landini Aleotti & family,0
Li Ping,0
Lin Jianhua,3
Magdalena Martullo-Blocher,0
Xavier Niel,1
Terrence Pegula,0
"Edward Roski, Jr.",0
John A. Sobrato & family,0
George Soros,3
David Sun,0
Agnete Kirk Thinggaard,0
John Tu,0
Xu Shihui,0
Rahel Blocher,0
Bubba Cathy,0
Dan Cathy,0
Trudy Cathy White,0
Bruce Kovner,0
"Henry Nicholas, III.",0
Nadia Thiele,0
David Bonderman,2
Melinda French Gates,1
Nathan Kirsh,0
Annette Lerner & family,0
David Reuben,0
Simon Reuben,0
Radovan Vitek,0
Carl Bennet,0
Stephen Bisciotti,0
Stanley Druckenmiller,0
Jian Jun,0
Alexei Kuzmichev,0
Dmitry Rybolovlev & family,1
Luis Carlos Sarmiento,1
Dennis Washington,0
Anthony Bamford & family,0
Gao Jifan & family,0
John Grayken,1
Alain Merieux & family,0
Wang Yusuo & family,1
Stef Wertheimer & family,2
Maria Asuncion Aramburuzabala & family,0
Gustaf Douglas,0
Frits Goldschmeding,0
Lin Muqin & family,0
Ruan Liping,0
Ruan Xueping,0
Michal Solowow,0
Mike Adenuga,0
Tom Gores,0
Michael Herz,0
Wolfgang Herz,0
Michael Kadoorie,0
Sunil Mittal,1
Zhou Qunfei,0
Alexander Abramov,0
Rene Benko,0
Neil Bluhm,0
Alain Bouchard,0
Jay Chaudhry,0
Gopikishan Damani,0
Sumet Jiaravanon,0
Joe Lewis,0
Frank Lowy,0
Michael Milken,0
David Steward,0
Les Wexner & family,0
Cai Kui,0
Jaran Chiaravanont,0
Andreas Halvorsen,0
Antony Ressler,2
Tsai Eng-meng,0
Josh Harris,4
Niels Peter Louis-Hansen,0
Patrick Soon-Shiong,0
Rinat Akhmetov,0
John Brown,0
Clive Calder,0
Arthur Irving,0
Fredrik Lundberg,1
Thomas Schmidheiny,0
Helmut Sohmen,0
Daniel Ziff,0
Dirk Ziff,0
Robert Ziff,1
Maria Angelicoussis,0
Ray Lee Hunt,0
Lai Meisong,0
Vikram Lal & family,1
Ken Langone,0
Li Ge,1
Karen Pritzker,0
Robert Rowling,0
Teddy Sagi,0
Seo Jung-jin,0
Wu Jianshu,0
Micky Arison,0
James Chambers,0
Pierre Chen,0
John Collison,0
Patrick Collison,0
Archie Aldis Emmerson & family,0
Piero Ferrari,0
Dan Friedkin,0
James Irving,0
Jiang Weiping & family,0
Wolfgang Marguerre & family,1
Ludwig Merckle,0
Mitchell Rales,0
Katharine Rayner,0
Jean Salata,0
Paul Singer,0
Sergio Stevanato & family,0
Margaretta Taylor,0
Richard White,0
Zhao Yan,0
Patrizio Bertelli,0
Mahendra Choksi & family,0
Mat Ishbia,0
Leo Koguan,0
Miao Hangen,0
Michael Pieper,0
Miuccia Prada,0
Wolfgang Reimann,0
Matthias Reimann-Andersen,0
Stefan Reimann-Andersen,0
Renate Reimann-Haas,0
Todd Boehly,0
Rick Caruso,0
Ibrahim Erdemoglu,0
Elizabeth Johnson,0
Douglas Leone,1
Prajogo Pangestu,0
Thomas Pritzker,1
Lynda Resnick,0
Stewart Resnick,0
Gary Rollins,0
Mark Walter,0
Ronald Wanek,0
Erich Wesjohann & family,0
M.A. Yusuff Ali,1
Alexandre Behring,0
Cheng Xue,2
Robert Faith,0
Gao Dekang & family,0
Micky Jagtiani,0
Ananda Krishnan,0
Barry Lam,0
"Robert Rich, Jr.",0
Mark Scheinberg,0
Charles Simonyi,1
Ty Warner,0
Sam Zell,0
Fang Wei,0
Rekha Jhunjhunwala,0
Charles B. Johnson,0
Kwon Hyuk-bin,0
Sami Mnaymneh,0
Kjell Inge Rokke,0
Tony Tamer,0
Tse Ping & family,0
Romesh T. Wadhwani,0
Hansjoerg Wyss,0
Denise York & family,0
Ron Baron,1
Robert Bass,0
Dona Bertarelli,0
Alexander Gerko,1
Martin Haefner,0
"Robert Hale, Jr.",0
Viktor Kharitonin,0
Kim Beom-su,1
Jane Lauder,0
Michel Leclercq & family,0
George Lucas,0
Janice McNair,0
Ugur Sahin,2
Alexandra Schoerghuber & family,0
Thomas Straumann,0
Murat Ulker,0
Chip Wilson,0
Zhu Yan & family,0
Jim Davis & family,0
Murali Divi & family,0
Dagmar Dolby & family,0
Marcos Galperin,0
Tom Golisano,0
Jonathan Gray,0
Bidzina Ivanishvili,0
Lim Hariyanto Wijaya Sarwono,0
Rudolf Maag,2
Emanuele (Lino) Saputo & family,0
Mark Shoen,0
Dan Snyder,3
Chairul Tanjung,0
Kelcy Warren,1
Zhang Tao,1
Michael Ashley,0
Tomasz Biernacki,0
Bernard Broermann,0
Jimmy Haslam,0
H. Fisk Johnson,1
S. Curtis Johnson,0
Helen Johnson-Leipold,0
Vinod Khosla,0
Thai Lee,0
Winifred J. Marquart,0
Pankaj Patel,0
Horst Julius Pudwill,0
Yu Yong,0
Maria Fernanda Amorim & family,0
Gayle Benson,0
Jason Chang,0
Ali Erdemoglu,0
Andre Esteves,0
Carlo Fidani,0
Hong Ra-hee,0
Li Gaiteng,0
Thomas Secunda,0
Zuowen Song,0
Tim Sweeney,0
Bert Beveridge,0
Mark Cuban,0
Charles Dolan & family,0
Jack Dorsey,0
Fan Hongwei,0
Vladimir Kim,2
"Andre Koo, Sr.",0
Ronald Lauder,0
Li Chunan,0
Forrest Li,0
Richard Li,0
Doug Meijer & family,0
Hank Meijer & family,0
Mark Meijer & family,0
Issad Rebrab & family,0
Fred Smith,0
Barry Sternlicht,2
Maximilian Viessmann,0
Russ Weiner,0
Xue Min,0
Juan Domingo Beckmann Legorreta & family,0
Dietmar Hopp & family,0
Jiang Bin,0
Joseph Liemandt,0
Theo Mueller,0
N.R. Narayana Murthy,1
Odd Reitan & family,0
Marc Rowan,2
Hussain Sajwani,0
David Velez & family,0
Xu Jinfu,0
Samuel Yin,1
You Xiaoping & family,0
Stéphane Bancel,1
Margot Birmingham Perot,0
Neal Blue & family,0
Jim Davis,0
Rafael Del Pino,0
Peter Grogg,1
Christian Haub,0
Mangal Prabhat Lodha,0
Jeffrey Lurie & family,1
Joe Mansueto,0
Qian Dongqi & family,0
Mikhail Shelkov,0
Patrick Drahi,0
Behdad Eghbali,0
Juan Carlos Escotet,4
Jose E. Feliciano,0
Hu Kaijun,0
Johnelle Hunt,0
Marian Ilitch,0
Daryl Katz,4
Andrei Kozitsyn,0
Timur Kulibaev,0
Dinara Kulibaeva,0
Ian Livingstone,0
Richard Livingstone,0
Gwendolyn Sontheim Meyer,0
Jay Paul,1
Pham Nhat Vuong,0
Jon Stryker,0
Daniel Tsai,0
Richard Tsai,0
Frank Wang,0
Wang Junshi & family,0
Wang Wenjing,0
Herbert Wertheim,0
Shari Arison,0
Pyotr Aven,2
Chan Laiwa & family,0
Chen Hua,0
Thomas Hagen,0
"Rupert Johnson, Jr.",0
Dewi Kam,0
Min Kao & family,0
Marc Ladreit de Lacharriere,0
Eric Lefkofsky,1
Lin Bin,0
Lin Li,0
Michael Moritz,0
Jean (Gigi) Pritzker,0
E. Joe Shoen,0
Jeff Skoll,0
Lynsi Snyder,0
Djoko Susanto,0
Tahir & family,0
Peter Thiel,1
Andrej Babis,1
Danielle Bellon & family,0
Hubert Burda,1
Nick Caporella,0
John Catsimatidis,0
Scott Cook,0
Luca Garavoglia,0
Antti Herlin,0
Hong Jie,1
"Jeremy Jacobs, Sr. & family",0
Igor Kesaev,0
Mary Alice Dorrance Malone,0
Joao Moreira Salles,2
Walther Moreira Salles Junior,0
Arturo Moreno,0
Peter Spuhler,0
Donald Sterling,0
Kerry Stokes,0
Ken Xie,0
Liangzhi Xie & family,1
Sid Bass,0
Ben Chestnut,0
Elisabeth DeLuca & family,0
Guangchang Guo,0
Vinod Rai Gupta,0
John Henry,0
Travis Kalanick,0
Koon Poh Keong,0
Dan Kurzius,0
Paul Lee,1
Tobi Lutke,1
Gail Miller,0
Rajan Mittal,0
Rakesh Mittal,0
Isaac Perlmutter,0
"Bernard Saul, II.",0
Shaul Shani,0
Steven Spielberg,0
Jerzy Starak,0
Torbjorn Tornqvist,1
Rufino Vigil Gonzalez,0
Zhang Daocai,0
Juergen Blickle,0
"Austen Cargill, II.",0
"James Cargill, II.",0
Vanich Chaiyawan,0
Chen Dongsheng,0
Mong-Koo Chung,0
Kenneth Dart,0
Giuseppe De'Longhi & family,0
Guenther Fielmann & family,0
W. Herbert Hunt,0
James Irsay,0
Somurai Jaruphnit,0
Marianne Liebmann,0
Jorge Moll Filho & family,0
Fernando Roberto Moreira Salles,0
Pedro Moreira Salles,0
Gabe Newell,1
Alfred Oetker,0
Carl Ferdinand Oetker,0
Julia Oetker,0
Ruan Hongliang & family,0
Mark Stevens,0
Tsai Hong-tu,0
Nusli Wadia,0
Wu Yiling,0
Yu Renrong,2
Zhu Baoguo & family,0
Rahul Bhatia,0
Francesco Gaetano Caltagirone,0
Barry Diller,3
Wesley Edens,0
Stephen Feinberg,6
Rakesh Gangwal,0
Joseph Grendys,0
Martha Ingram & family,0
Li Xiang,0
"H. Ross Perot, Jr.",0
Chandru Raheja,0
Trevor Rees-Jones,1
Yasumitsu Shigeta,0
Su Qingcan,0
Tsai Cheng-ta,0
Steven Udvar-Hazy,0
Elizabeth Uihlein,1
Richard Uihlein,0
Hayes Barnard,1
William Berkley,0
Charles Cohen,0
Yakir Gabay,0
Huang Li,0
Brad Jacobs,0
Ji Qi,0
Jason Jiang,0
Jim Kavanaugh,1
Richard LeFrak & family,0
Mikhail Lomtadze,0
Tom Morris,0
Shigenobu Nagamori,0
Daniel Och,1
Horst Paulmann & family,0
Anthony Pritzker,0
John Sall,6
Howard Schultz,3
Richard Schulze,0
Yitzhak Tshuva,0
Wang Yanqing & family,0
Rajiv Bajaj,0
Sanjiv Bajaj,0
Leonid Boguslavsky,0
Jim Coulter,0
Nicolas D'Ieteren,0
Beatriz Davila de Santo Domingo,0
Bob Gaglardi,0
Jaime Gilinski Bacal,0
Pansy Ho,0
Alan Howard,0
Huang Yi,0
Peter Kellogg,0
Vyacheslav Kim,1
Josh Kushner,1
Samuel Tak Lee,0
Edwin Leong,0
"Stephen Mandel, Jr.",0
Mohamed Mansour,0
Masahiro Miki,0
Masahiro Noda,0
Cliff Obrecht,0
Melanie Perkins,0
J.B. Pritzker,0
Juan Roig,0
Jerry Speyer & family,1
Lawrence Stroll,0
Tung Chee Chen,0
Wang Junlin,0
Xia Zuoquan,0
Zeng Fangqin,0
Zhang Jian,0
Rocco Basilico,0
Maurizio Billi,0
Fashu Chen,0
Giuseppe Crippa & family,1
Daniel D'Aniello,0
Claudio Del Vecchio,0
Clemente Del Vecchio,0
Leonardo Maria Del Vecchio,0
Luca Del Vecchio,0
Marisa Del Vecchio,0
Paola Del Vecchio,0
Walter P.J. Droege,0
Fan Daidi,0
Peter Gassner,0
Mikhail Gutseriev,0
Patrick Lee,0
Leng Youbin,0
Daniel Loeb,0
Margarita Louis-Dreyfus & family,0
Prasert Prasarttong-Osoth,0
Ira Rennert,0
Dirk Rossmann & family,0
Arkady Rotenberg,0
Remo Ruffini,1
Karin Sartorius-Herbst,0
Vivek Chaand Sehgal,0
Scott Shleifer,0
Thomas Siebel,0
Wim van der Leegte & family,0
Xiao Yongming & family,0
Michael Xie,0
Yang Shaopeng,0
Nicoletta Zampillo,0
Barry Zekelman,0
William Ackman,0
Somphote Ahunai,0
Igor Altushkin,0
Ramon Ang,0
Acharya Balkrishna,0
Markus Blocher,0
Richard Branson,0
Cho Jung-ho,0
Alessandra Garavoglia,0
Laurence Graff & family,0
"Amos Hostetter, Jr.",0
Robert Johnson,0
Steven Klinsky,0
William Lauder,0
John Middleton,0
Hiroshi Mikitani,0
Bob Parsons,0
J. Joe Ricketts & family,0
Herb Simon,0
Leena Tewari,0
Stefan von Holtzbrinck,0
Hans Peter Wild,0
Wu Guanjiang & family,0
Yi Zheng,0
Eric Yuan & family,0
Charles Zegar,0
Mohed Altrad,0
John Arnold,0
Bill Austin,0
Chen Shibin,0
Bennett Dorrance,0
Walter Faria,0
Walter Frey,0
Fu Liquan & family,1
John Gandel,0
Peter Gilgan,0
Kwek Leng Beng,0
Pablo Legorreta,0
Arnon Milchan,0
Akio Nitori,1
Julio Ponce Lerou,0
Rodger Riney & family,0
Phil Ruffin,0
Naguib Sawiris,0
Neil Shen,0
Gil Shwed,0
Stephen Smith,1
Nik Storonsky,0
Jeffrey Talpins,0
Carl Thoma,1
Todd Wanek,0
Xue Hua,0
Takao Yasuda,0
Karen Virginia Beckmann Legoretta,0
Giuliana Benetton,0
Luciano Benetton,0
Arun Bharat Ram,0
Ron Burkle,0
Chen Kaixuan,0
Brunello Cucinelli & family,0
Antonio Del Valle Ruiz & family,0
Gustavo Denegri & family,0
Dong Jinggui,0
Charles Ergen,0
David Filo,0
Lindsay Fox,0
Sergei Galitsky,0
Senapathy Gopalakrishnan,0
Luciano Hang,0
Michael Hintze,0
Hu Baifan,0
Hamilton James & family,0
Lee Boo-jin,0
Li Liangbin,0
Liang Feng,0
Samir Mehta,0
Sudhir Mehta,0
Aristotelis Mistakidis,2
Geoffrey Palmer,0
Roger Penske,0
Ravi Pillai,0
David Rubenstein,0
Hilton Schlosberg,0
Klaus-Peter Schulenberg,1
Lynn Schusterman & family,0
Isabella Seràgnoli,0
Shen Guojun,0
Warren Stephens,2
Pat Stryker,0
Roman Trotsenko,0
Harald Tschira,0
Udo Tschira,0
Vincent Viola,0
Wu Shaoxun,0
Steve Wynn,0
Jon Yarbrough,0
Zhou Bajin,0
Cho Tak Wong,0
John Coates,2
Ryan Cohen,2
Deng Wen,0
Gurbachan Singh Dhingra,0
Kuldip Singh Dhingra,0
Martin Ebner,1
Charles Edelstenne,0
Sergei Gordeev,1
Jeff T. Green,0
Reed Hastings,0
Bertil Hult,0
Miguel Krigsner,0
Kuok Khoon Hong,0
Aerin Lauder,0
Sheldon Lavin,0
Yin Yee Lee,0
Vladimir Litvinenko & family,0
Daniel Mate,0
Ravi Modi,0
Farhad Moshiri,0
Jonathan Nelson,1
Or Wai Sheun,0
Katharina Otto-Bernstein,0
Sergei Popov,1
Penny Pritzker,0
Theodore Rachmat,0
Renzo Rosso & family,0
Friede Springer,0
Rita Tong Liu,0
Timur Turlov,0
Frank VanderSloot,0
Yoo Jung-hyun,1
Abdulla bin Ahmad Al Ghurair & family,0
Semahat Sevim Arsel,0
Nicolas Berggruen,0
George Bishop,0
Norman Braman,0
Eva Maria Bucher-Haefner,0
Cai Dongchen,0
Jean-Pierre Cayard,1
Chan Tan Ching-fen,0
Todd Christopher,0
Mang Yee Chu & family,0
"William Conway, Jr.",0
Jean Coutu & family,0
Catheline Perier D'Ieteren,0
"Edward DeBartolo, Jr.",0
Stephen Deckoff,3
Feng Hailiang,0
"Ernest Garcia, II.",0
Sam Goi,0
Carlos Hank Rhon,0
Susan Carol Holland,0
Hui Ka Yan,1
Vivek Jain,4
Friedrich Knapp,0
Egor Kulkov,0
Lin Ming-hsiung,0
Lin Xiucheng & family,0
Harsh Mariwala,0
Gilles Martin,0
Maja Oeri,0
John Paulson,0
Ajay Piramal,0
Guanghe Qiu & family,0
Stephen Rubin,0
Robert Sands,0
Erik Selin,1
Yonghong Shi & family,2
Martua Sitorus,0
Guangxin Sun,0
Sukanto Tanoto,0
